Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170301;1;17400;17124,713
20170301;2;16750;16772,725
20170301;3;16450;16349,013
20170301;4;16500;16417,238
20170301;5;17000;16696,288
20170301;6;18200;17341,075
20170301;7;20700;19455,975
20170301;8;22150;21261,888
20170301;9;22900;22090,513
20170301;10;23000;22168,463
20170301;11;23050;22170,525
20170301;12;23150;22361,663
20170301;13;23200;22419,200
20170301;14;23350;22602,713
20170301;15;22900;22063,138
20170301;16;22400;21728,475
20170301;17;22300;21652,625
20170301;18;23600;22255,100
20170301;19;23700;23148,250
20170301;20;23650;23311,900
20170301;21;22850;22650,513
20170301;22;21450;21139,050
20170301;23;19850;19511,300
20170301;24;18450;18321,988
20170302;1;17100;17282,388
20170302;2;16550;16700,525
20170302;3;16250;16422,063
20170302;4;16450;16457,475
20170302;5;17050;16702,975
20170302;6;18250;17498,188
20170302;7;20800;19387,838
20170302;8;22150;21227,050
20170302;9;22850;22138,250
20170302;10;22850;22249,438
20170302;11;22850;22124,275
20170302;12;22850;22572,325
20170302;13;22900;22662,913
20170302;14;23100;22609,075
20170302;15;22600;22229,263
20170302;16;22200;21923,450
20170302;17;22100;21846,363
20170302;18;23550;22363,175
20170302;19;23600;23157,075
20170302;20;23600;23201,663
20170302;21;22900;22568,000
20170302;22;21450;21168,225
20170302;23;19850;19614,563
20170302;24;18500;18298,600
20170303;1;17300;17309,213
20170303;2;16850;16786,975
20170303;3;16450;16484,725
20170303;4;16550;16490,975
20170303;5;17150;16867,763
20170303;6;18450;17607,038
20170303;7;21000;19470,863
20170303;8;22050;21375,063
20170303;9;22550;22215,863
20170303;10;22550;22469,875
20170303;11;22750;22262,588
20170303;12;22750;22403,913
20170303;13;22800;22287,850
20170303;14;22900;22348,425
20170303;15;22300;21870,138
20170303;16;21900;21532,538
20170303;17;21900;21400,000
20170303;18;23350;22167,325
20170303;19;23400;23188,488
20170303;20;23400;23168,288
20170303;21;22800;22381,050
20170303;22;21350;20932,700
20170303;23;19750;19468,675
20170303;24;18400;18211,400
20170304;1;17100;17047,613
20170304;2;16500;16456,150
20170304;3;16100;16132,775
20170304;4;16000;16044,788
20170304;5;16000;16067,488
20170304;6;16000;16235,850
20170304;7;17100;16620,088
20170304;8;18500;17790,200
20170304;9;19800;19127,488
20170304;10;20300;19905,338
20170304;11;20500;20063,875
20170304;12;20600;20042,400
20170304;13;20400;19733,250
20170304;14;20200;19553,588
20170304;15;19400;18738,813
20170304;16;18800;18331,575
20170304;17;18900;18187,275
20170304;18;20400;18917,338
20170304;19;20800;20152,238
20170304;20;20600;20154,775
20170304;21;19900;19654,763
20170304;22;18700;18393,838
20170304;23;17700;17187,075
20170304;24;16400;16002,675
20170305;1;15500;14927,213
20170305;2;15000;14425,275
20170305;3;14500;14138,713
20170305;4;14400;13932,925
20170305;5;14400;14068,275
20170305;6;14500;14140,525
20170305;7;14800;13941,175
20170305;8;15600;14610,500
20170305;9;16500;15628,600
20170305;10;17300;16490,788
